Role of Job,Company Name,Company Location,Type of Work,Description,extracted_skills
AI Prompt Specialist/Prompt Engineer (BB - 06192025 - PTAPS),Ripped Box Station,"Manila, Metro Manila",,"position: ai prompt specialist/prompt engineer

number of hours: 10 hours/week
schedule: canada timezone (cst)

tasks required:

prompt engineering & testing:

design, iterate, and optimize ai prompts for a variety of applications using promptmetheus and other tuning tools.

conduct experiments to assess prompt performance and refine based on test outcomes.

workflow automation:

build and maintain robust end-to-end automations using n8n, integrating apis, databases, and third-party services.

model customization:

use mcp (model customization platform) to fine-tune large language models for specific business or project objectives.

prompt monitoring & optimization:

track and evaluate prompt effectiveness using lovable tools.

analyze feedback and performance metrics to ensure continuous improvement.

requirements:

demonstrated experience with prompt engineering and ai model interaction.

familiarity with promptmetheus, n8n, mcp, and lovable tools (or similar alternatives).

experience with workflow automation, api integrations, and data flow design.

strong analytical and problem-solving skills with attention to detail.

ability to work independently and manage time efficiently in a remote setting.",[]
Sr. Engineer - ServiceNow ITOM and CMDB,Cardinal Health,"Taguig, Metro Manila",,"join to apply for the sr. engineer - servicenow itom and cmdb role at cardinal health3 days ago be among the first 25 applicants

join to apply for the sr. engineer - servicenow itom and cmdb role at cardinal healthget ai-powered advice on this job and more exclusive features. what application development & maintenance brings

to cardinal healthinformation technology oversees the effective development, delivery, and operation of computing and information services. this function anticipates, plans, and delivers information technology solutions and strategies that enable operations and drive business value. application development & maintenance performs configuration or coding to develop, enhance and sustain the organization's software systems in a cross-functional team environment through adherence to established design control processes and good engineering practices.

the servicenow technical lead is responsible for the application portfolio management/cmdb/discovery/service mapping health, transformation, and ongoing maintenance of the itom space with inclusion of the build and maintenance activities. operational responsibilities encompass the day-to-day management and optimization of itom to ensure seamless functionality. this includes upgrades and overseeing the design and implementation of all enhancements and project-related transformational changes.

lead chip data team and collaborate with us team (data developers, business analysts and clients). the tech lead will also coach and mentor less experienced members of the team. lead operational effectiveness: acts as sme.

responsible for leading team to complete servicenow data incidents, defects, and tasks according to established sla’s. performs daily health checks on cmdb, discovery data including monitoring jobs, data loads and mid servers. identifying, diagnosing, and resolving data discrepancies and issues within itom, applying root cause analysis, and implementing corrective actions.

data integrity and quality: performs software installations/upgrades, creation, configuration, and loads data and enforce strict data governance and quality standards within the cmdb, ensuring data integrity and reliability for operational and decision-making processes. promotes servicenow and cmdb best practices and recommends out of the box solutions where appropriate. integration and development: leads implementation projects, provides updates on projects and proactively comminucates issues that may impact project success.

develops and integrates servicenow with external systems to enrich cmdb data, utilizing rest, soap apis, and other web services. focus on automating data import and synchronization processes to ensure up-to-date information. discovery configuration: configures and fine-tunes servicenow discovery patterns and schedules to accurately identify and map it infrastructure and services, minimizing gaps in the cmdb.

create/maintain new schedules and patterns. continuous improvement: recommends and implements enhancements to improve data quality, processing efficiency, and performance. participates in platform communities and stay up to date on new software technologies and best practices.

collaboration: works effectively in a cross-functional team environment, communicating with stakeholders across it and business units, participate in sprint planning, refinement, and execution. qualificationsbachelor’s degree in related field or equivalent work experience10+ years of hands-on experience in service now itom (cmdb administration, discovery& service mapping), and itsm processes

minimum of 5+ years working on a team as part of a large it organization.minimum of 5+ years leading build/run team members.proficient in sdlc and agile methodology

excellent oral and written communication skills and organizational skills. experience with scripting and automation in servicenow (javascript, unix shell scripting, windows scripting, powershell, perl, python). experience with service graph connectors & various data sources.

experience in web technologies and apis (rest, soap). experience with application portfolio management, information objects & tpm.experience using csdm framework & configuring dynamic ci groups. applies advanced knowledge and understanding of concepts, principles, and technical capabilities to manage a wide variety of projects.

excellent analytical and problem-solving skills, with the ability to generate actionable insights from data. understanding of incident management, change management, configuration management, and release management as it relates to itil.certifications requiredservicenow fundamentalsservicenow discovery fundamentalsservicenow certified implementation specialist – discoveryservicenow certified implementation specialist – service mappingconfiguration management database (cmdb) fundamentalsitilv4 foundationscloud gcp/aws certification preferred. what is expected of you and others at this level?

applies comprehensive knowledge and a thorough understanding of concepts, principles, and technical capabilities to perform varied tasks and projects

may contribute to the development of policies and procedures

works on complex projects of large scope

develops technical solutions to a wide range of difficult problems. solutions are innovative and consistent with organization objectives

completes work independently receives general guidance on new projects

candidates who are back-to-work, people with disabilities, without a college degree, and veterans are encouraged to apply. cardinal health supports an inclusive workplace that values diversity of thought, experience and background. we celebrate the power of our differences to create better solutions for our customers by ensuring employees can be their authentic selves each day.

cardinal health is an equal opportunity/affirmative action employer. all qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, ancestry, age, physical or mental disability, sex, sexual orientation, gender identity/expression, pregnancy, veteran status, marital status, creed, status with regard to public assistance, genetic status or any other status protected by federal, state or local law. seniority level

seniority levelassociateemployment type

employment type

full-time

job function

job function

engineering and information technologyindustrieshospitals and health care, transportation, logistics, supply chain and storage, and medical equipment manufacturingreferrals increase your chances of interviewing at cardinal health by 2xget notified about new senior engineer jobs in taguig, national capital region, philippines.makati, national capital region, philippines 2 days ago

manila, national capital region, philippines 1 week ago

pasay, national capital region, philippines 1 week ago

engineering manager philippines & indonesiamanila, national capital region, philippines 12 hours ago

engineering manager philippines & indonesiamanila, national capital region, philippines 12 hours ago

makati, national capital region, philippines 2 weeks ago

quantity surveyor (electrical engineer) - pasigpasig, national capital region, philippines 1 month ago

taguig, national capital region, philippines 3 weeks ago

engineering manager philippines & indonesiapasay, national capital region, philippines 3 weeks ago

quezon city, national capital region, philippines 3 weeks ago

taguig, national capital region, philippines 1 week ago

engineering manager philippines & indonesiaengineering manager philippines & indonesiamanila, national capital region, philippines 6 hours ago

engineering manager philippines & indonesiamakati, national capital region, philippines 1 week ago

manila, national capital region, philippines 1 week ago

taguig, national capital region, philippines 3 days ago

taguig, national capital region, philippines 2 weeks ago

engineering manager philippines & indonesiacountry senior engineer, patient care solutionstaguig, national capital region, philippines 2 months ago

pasay, national capital region, philippines 3 days ago

country senior engineer, patient care solutionstaguig, national capital region, philippines 1 day ago

taguig, national capital region, philippines 2 weeks ago

manila, national capital region, philippines 1 month ago

taguig, national capital region, philippines 2 days ago

we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr",['sis']
No Code and Automation Mentor,Eskwelabs,"Makati City, Metro Manila",,"job description


mentoring:

the mentor agrees to render all mentoring hours and responsibilities for the specific program they are mentoring in.

learning experience design (lxd) support:

the mentor, when needed or applicable, agrees to double-checking of lx materials for quality assurance purposes.
the mentor agrees to complete all the forms needed by eskwelabs operations team for the improvement of the learning experience.

judging support:

the mentor will serve as judges for sprint or project presentations.

learner support:

the mentor agrees to complete all the forms needed by eskwelabs operations team for the fulfillment of learner insights, observations, red flags, observations.
the mentor agrees to complete all the requirements of eskwelabs operations team in the form of attending debriefings and other meetings stated by eskwelabs operations team.
minimum qualifications

candidate can teach onsite in the clients office in bgc
candidate is knowledgeable, skilled in, and has experience in the following:
no-code tools (ex: webflow)
automation platforms (ex: zapier, make, n8n)
airtable or notion databases
workflow design and optimization
api integration (via no-code platforms)
data structuring and schema design
systems thinking principles
process mapping and diagramming (ex: miro, whimsical)
modular design and reusability
error handling and debugging in automation tools
knowledge management systems
versioning and documentation of workflows
cross-platform integration (ex: slack, gmail, google sheets, crm)
ux for internal tools and dashboards
conditional logic and triggers
time-based automation and scheduling
change management and stakeholder alignment
teaching and mentoring in async and live formats
low-code enhancement (optional but useful: javascript, python basics)
continuous improvement and feedback loops
candidate must have strong analytical and planning skills
candidate must exhibit good communication skills
candidate must have excellent problem-solving skills
candidate must have proven time management skills
candidate must exhibit empathy and adaptability
candidate must have proven technical expertise
candidate is comfortable mentoring employees of varying levels (junior, senior, executive)",[]
Integration/Application Engineer,Octal Philippines Inc.,"Quezon City, Metro Manila",,"gather, analyze and document requirements in the form of system detailed design and release planning.
craft term of reference for every system that will be implemented in slmc.
conduct system testing and proof of concept on every system that will be implemented in slmc.
support in integration between different systems.
support in application development and implementation
manage and coordinate 3rd party vendors.

planning:

participate in development of the department annual operational plan and initiates proposal, activities and program to immediate superior.
contributes to the formulation of specific guidelines, programs and activities.
research on new trends of technologies and practice with regards to the area of specialization.

leading:

effectively coordinates and communicates with all units and key people of the organization for overall plans, implementing and scheduling activities.
provides support to teams by participating in administrative duties, team meetings, problem solving and decision making.
gives feedback and updates on assigned projects and activities to the immediate superior.
advocates and encourages team members to perform well and provide outstanding customer support.

requirements

proficient on different integration,messaging standards and payloads.
hl7, xml, json, string, binaries, etc
rest endpoint, soap endpoint, queues, tcp/ip, api’s, etc
proficient on sdlc components.
technology platform, server’s, networks topology and database’s.",[]
Manager Electronic Engineer,Advanced Energy,"Libis, Metro Manila",,"position:  principal electronic engineer

about advanced energy advanced energy industries, inc. (nasdaq: aeis), enables design breakthroughs and drives growth for leading semiconductor and industrial customers. our precision power and control technologies, along with our applications know-how, inspire close partnerships and innovation in thin-film and industrial manufacturing. we are proud of our rich heritage, award-winning technologies, and we value the talents and contributions of all advanced energy's employees worldwide.

responsibilities

analyze & understand the control requirements of ac-dc & dc-dc converters
design & develop control architecture and control fw for new topologies
develop mathematical and simulation control models
implement control strategies using industry standard software tools like matlab and simulink (model based design)
perform functional testing of control strategies at the test block
extend support in analyzing/solving issues related to digital control for npi teams
do design reviews for hw/fw control implementations
mentor junior engineers
collaborate with other design sites for new control solutions/improvements

qualifications

bachelor’s degree in electrical engineering or electronics and communications engineering
minimum of 10 years of engineering experience in switch mode power supply design
ms in electrical engineering or electronics and communications engineering with 5 years of engineering experience
strong in simulations using matlab, plecs, simetrix/simplis, psim, etc
strong in mathematical control system analysis
knowledge in single/three phase pll and three phase dq control is a plus
highly motivated to create innovative solutions
strong commitment to innovation
trustworthy, loyal, high moral standards
passionate and committed

as part of our total rewards philosophy, we believe in offering and maintaining competitive compensation and benefits programs for our employees in order to attract and retain a talented, highly engaged workforce. our compensation programs are focused on equitable, fair pay practices including market-based base pay, an annual pay-for-performance incentive plan, we offer a strong benefits package in each of the countries in which we operate.

advanced energy is committed to diversity in its workforce including equal employment opportunity for minorities, females, protected veterans, and individuals with disabilities.
we are committed to protecting and respecting your privacy. we take your privacy seriously and will only use your personal information to administer your application in accordance with the ra no. 10173 also known as the data privacy act of 2012.","['sis', 'matlab', 'simulink']"
Machine Technician,Bonafide Trainology Placement Services,"City of Tanauan, Calabarzon",Hybrid,"machine technician

qualifications:
graduate of industrial technology course related to mechanical, electrical, electronics, mechatronics or instrumental control.
fresh graduates are welcome to apply.
must be knowledgeable in basic automation.
with hands on experience in ms office application.
with good communication and interpersonal skills.
must possess initiative.
willing to be assigned at philippine manufacturing co. of murata, fpip i tanauan, batangas

benefits:
for direct hire
free shuttle
free medical
free uniform",[]
Automation and Integration Programmer,"Phoenix One Knowledge Solutions, Inc.","Muntinlupa, Metro Manila",Hybrid,"muntinlupa city, national capital region, philippinesautomation and integration programmerphoenix one knowledge solutions, inc. muntinlupa city, national capital region, philippines5 days ago be among the first 25 applicants

direct message the job poster from phoenix one knowledge solutions, inc.

ability to develop and implement workflow automation solutions using power automate, as well as rpa automation using uipath, leveraging industry-leading rpa tools and frameworks.
write, test, and maintain efficient and scalable automation scripts
collaborate with the development team to integrate automation solutions with existing systems and applications
writes documentation related to major and complex development or enhancement to existing projects
conduct thorough testing of automation solutions to ensure accuracy, reliability, and performance
stay abreast of the latest in robotics automation, chatbots and other technologies of process automation and best practices

support:

ability to support and troubleshoot automations raised by project managers/stakeholders
able to implement preventive actions to recurring issues and find solutionstechnical functions and competencies:technical and functional:must

have:good to have:qualifications:

knows how to design and develop automation workflows using microsoft power automate.
knows how to design and develop rpa solutions using uipath platform
bachelor’s degree in any related field –it, computer science etc.
good in english communications: read, write and speak
able to express himself and communicate with the team and stakeholders for brainstorming and demos
able to read technical and functional specifications
ability to document and explain technical details clearly and concisely
analytical thinking and problem-solving skills
ability to work without close supervision
preferred to have uipath certificationseniority level

seniority level

entry level

employment type

employment typecontractjob function

job function

engineering and information technologyindustriesprofessional training and coachingget notified when a new job is posted.sign in to set job alerts for “software engineer” roles.manila, national capital region, philippines 3 months ago

manila, national capital region, philippines 1 year ago

quezon city, national capital region, philippines 8 months ago

junior full stack software developer | work from homequezon city, national capital region, philippines 3 weeks ago

manila, national capital region, philippines 2 days ago

quezon city, national capital region, philippines 5 months ago

taguig, national capital region, philippines 1 month ago

pasig, national capital region, philippines 2 weeks ago

quezon city, national capital region, philippines 1 month ago

makati, national capital region, philippines 5 hours ago

quezon city, national capital region, philippines 7 months ago

makati, national capital region, philippines 1 month ago

quezon city, national capital region, philippines 6 days ago

taguig, national capital region, philippines 1 month ago

manila, national capital region, philippines 1 month ago

quezon city, national capital region, philippines 1 month ago

software engineer - information technologytaguig, national capital region, philippines 2 weeks ago

pasig, national capital region, philippines 2 weeks ago

taguig, national capital region, philippines 3 weeks ago

taguig, national capital region, philippines 4 days ago

pasig, national capital region, philippines 3 weeks ago

manila, national capital region, philippines 4 days ago

makati, national capital region, philippines 8 months ago

mandaluyong, national capital region, philippines 1 week ago

makati, national capital region, philippines 5 days ago

makati, national capital region, philippines 5 days ago

manila, national capital region, philippines 8 months ago

makati, national capital region, philippines 1 week ago

national capital region, philippines 2 weeks ago

makati, national capital region, philippines 5 days ago

software engineer (junior/middle) philippinesmanila, national capital region, philippines 1 month ago

junior full stack developer (angular and laravel/ mysql)pasig, national capital region, philippines 2 weeks ago

manila, national capital region, philippines 1 week ago

we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr",[]
Instrumentation Technician,,"Calamba City, Calabarzon",Hybrid,"- provide service and customer support during field visits and dispatches.

- manage all on-site installation repairs, maintenance, and test task.

- produce timely and detailed service reports supported by documented processes.

- follow all company’s filed operations procedures and protocols.

- cooperate with colleagues and share information across the organization.

- comprehend customer requirements and make appropriate recommendations/briefing.

- build a positive relationship with customers.

candidate must:

-be a graduate of bs electrical/ mechatronics/ instrumentation engineering or at least vocational certificate from tesda/ mfi (meralco foundation) for industrial controls electrician/ advance motor control/ electro-pneumatics and hydraulics/ mechatronics/ machine automation or equivalent.

-experience in interpreting electrical wiring/piping, instrumentation diagram, control wiring, electrical plans, and designs.

-experience in motor control and building wiring.

-experience in programmable and logic control is an advantage

-preferably with bosh/osh training.

-must have non/professional driver's license rc 1 & 2.

-willing to be assigned at cpip batino office, within luzon, visayas and mindananao per projects.

-fresh graduates are encouraged to apply.",[]
One (1) Instructor I - Permanent - College of Engineering Technology JPLPC - Malvar,Batangas State University,"Malvar, Calabarzon",Hybrid,"education

1. bachelor of science in mechatronics engineering / technology 2. relevant master’s degree

experience

minimum of two (2) years of relevant experience

expertise

none required

competency

none required

eligibility

none required

duties and responsibilites

please see attached file",[]
Production Equipment Engineer,John Clements,"Batangas City, Calabarzon",Hybrid,"diagnose machine breakdowns, fitting new parts and ensure that equipment is working reliably

assist and review procurement of machine spare parts planning and consumption

assist in quality improvement, cost reduction activities and process standardization

qualifications

engineering graduate preferably mechanical/electrical engineering or any equivalent

with at least 2 to 3 years of working experience in manufacturing company",['sis']
Site Reliability Engineer (Manila/Cebu),Accenture,"Manila, Metro Manila",Hybrid,"join to apply for the site reliability engineer (manila/cebu) role at accenture in the philippinescontinue with google continue with googlejoin to apply for the site reliability engineer (manila/cebu) role at accenture in the philippinesposition title: site reliability engineerwho we are:accenture in the philippines is a pioneer in accenture’s global delivery network. over the past 30 years, we have expanded our capabilities to become a powerhouse company providing end-to-end technology and business services. as part of accenture’s global footprint in over 120 countries, covering 40-plus industries, we have been working with the biggest companies in the country and around the globe.

innovation, a constant at accenture, enables us to find new ways to stay ahead of our clients’ challenges. our inclusive, diverse, and strong culture of equality helps us constantly drive innovation in the workplace. by combining our industry expertise and the deep skills of our people with the latest technologies and our uncompromising high-performance standards, we help organizations grow their business and succeed in the digital age.

the work:site reliability engineering bridges the gaps between platform design, development and operational execution by providing new perspectives on system reliability. as an application automation engineer, you will be responsible for applying innovative ideas to drive the automation of delivery analytics at the client level. your typical day will involve utilizing your expertise in site reliability engineering to automate processes and improve efficiency.

roles & responsibilities:lead the automation of infrastructure management processes using site reliability engineering techniques. collaborate with cross-functional teams to identify automation opportunities and implement solutions. develop and deploy automation scripts and tools to improve efficiency and reduce manual effort.

monitor and maintain the automation infrastructure, ensuring its reliability and scalability. troubleshoot and resolve issues related to automation tools and processes.ere’s what you’ll need:professional & technical skillsrequired skills:with background in automation/infrastructure automation (scripting, coding)with background/knowledgeable in any monitoring toolswindowslinuxpowershellbashadditional skills:ansiblestrong understanding of automation principles and best practices. experience in developing and deploying automation scripts and tools.

knowledge of monitoring and maintaining automation infrastructure. additional information:the candidate should have 2 years of experience in automation/infrastructure automation (scripting, coding)the ideal candidate will possess a strong educational background in application automation engineering or a related field, along with a proven track record of delivering automation solutions. this position is based in manila and cebuwhat’s in it for you?

you will be part of accenture’s growing community of technology professionals, continually expanding to provide the best services to our clients. at accenture, you will be working on innovative projects, while being exposed to the latest emerging technologies and industry best-practices. we offer trainings and development programs and courses to help you grow your own tech stack and certifications.

what we believeall our leaders are committed to building a better, stronger, and more durable company for future generations to create positive, long-lasting change. inclusion and diversity are fundamental to our culture and core values.

our rich diversity makes us more innovative and creative, which helps us better serve our clients and our communities. our position as partner to many of the world’s leading businesses, organizations and governments affords us both an extraordinary opportunity and a tremendous responsibility to make a difference. sustainability is one of our greatest responsibilities, which we embed it into everything we do and for everyone we work with.

accenture is committed to providing equal employment opportunities for persons with disabilities. please let your recruiter know if you require reasonable accommodation to enable your participation in the recruitment process, they will be happy to assist you. seniority level

seniority level

entry level

employment type

employment type

full-time

job function

job function

information technology and engineeringindustriesit services and it consultingreferrals increase your chances of interviewing at accenture in the philippines by 2xsign in to set job alerts for “site reliability engineer” roles.continue with google continue with googlecontinue with google continue with googlepasay, national capital region, philippines 2 weeks ago

taguig, national capital region, philippines 3 days ago

makati, national capital region, philippines 1 week ago

quezon city, national capital region, philippines 1 week ago

quezon city, national capital region, philippines 2 weeks ago

mandaluyong, national capital region, philippines 1 week ago

pasay, national capital region, philippines 2 weeks ago

pasig, national capital region, philippines 1 week ago

quezon city, national capital region, philippines 2 weeks ago

manila, national capital region, philippines 1 year ago

mandaluyong, national capital region, philippines 1 month ago

makati, national capital region, philippines 3 weeks ago

makati, national capital region, philippines 1 week agodevops/site reliability engineer (nigeria-remote)pasay, national capital region, philippines 2 weeks ago

mandaluyong, national capital region, philippines 4 days ago

taguig, national capital region, philippines 1 day ago

makati, national capital region, philippines 1 week ago

manila, national capital region, philippines 1 week ago

taguig, national capital region, philippines 3 days ago

pasay, national capital region, philippines 2 weeks ago

taguig, national capital region, philippines 2 months ago

pasig, national capital region, philippines 1 month ago

pasay, national capital region, philippines 1 day ago

quezon city, national capital region, philippines 3 weeks ago

taguig, national capital region, philippines 1 month ago

taguig, national capital region, philippines 3 weeks ago

pasay, national capital region, philippines 2 weeks ago

muntinlupa city, national capital region, philippines 3 months ago

mandaluyong, national capital region, philippines 2 days ago

quezon city, national capital region, philippines 3 weeks ago

makati, national capital region, philippines 2 months ago

we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr",['sis']
MECHANICAL DESIGNER,"MKFF LASERTEKNIQUE INTERNATIONAL, INC.","Biñan, Calabarzon",Hybrid,"graduate of any technical course (mechanical engineer/mechatronics technology)

knowledge or proficient in solidworks and auto cad software

open to fresh graduates with relevant qualifications.

experience in designing tools & jig

semicon is advantage

sketch and draw designs using input from customers

create designs in line with company procedure regulations and client standards

provide support during building/assembly and installation process

flexible approach to work and the ability to adapt to change

able to work in team environment

self-motivated attitude and the ability to use initiative",['solidworks']
Senior AV Engineer,ESCO Pte Ltd,"Makati City, Metro Manila",Hybrid,"qualifications:

bachelor's degree in electronics engineering or equivalent.

with 8 years of experience in av support and maintenance.

advanced understanding of av systems and components.

supervisory experience

certification in advanced av technology (e.g., cts, cts-i, or cts-d preferred).

familiarity with advanced av systems (e.g., digital signage, control systems, networked av).

customer service and technical support.

job description:

advanced troubleshooting and resolving complex av issues in larger venues such as auditoriums and training rooms.

proficiency in troubleshooting direct view led walls, projectors, sound systems, digital mixers, and stage lighting systems.

preventive maintenance and system optimization

benefits:

hmo coverage

government contributions

trainings

insurance

company laptop and phone

13th month",[]
Millwright (Mechanical Technician),True North Manufacturing Services Corporation,"Pampanga, Central Luzon",Hybrid,"qualifications:

(fresh) graduate of any two-year course related in mechanical (mechanical technology, automotive technology, mechatronics, electromechanical, etc).
or at least senior high school graduate with technical vocation / tesda certificate related in mechanical.

skills:
knowledgeable in basic tools and equipment

performs installation of equipment (pumps, motors, agitator, machinery, bearings) based on approved engineering standards/drawings.
performs lay-outing, alignment of machine base anchor bolts, sole plates, base bolts etc.",[]
Industrial Engineer,Bestank Manufacturing Corporation,"Valenzuela, Metro Manila",Hybrid,"job description:

we are seeking an industrial engineer to analyze and improve existing workflows and systems within our manufacturing operations. the role involves identifying inefficiencies, implementing improvements, and promoting a culture of continuous improvement.

key responsibilities:

evaluate current workflows, production layouts, equipment usage, material flow, and cycle times to identify areas for improvement.

develop and track performance metrics to measure operational efficiency and highlight bottlenecks.

design and implement process enhancements to increase productivity, reduce waste, and minimize downtime.

conduct time and motion studies to identify the most efficient methods of task execution.

assess production capacity and develop strategies to maximize output.

perform cost analyses to uncover savings opportunities related to materials, labor, and equipment utilization.

collaborate with cross-functional teams to drive continuous improvement initiatives and implement best practices.

qualifications:

bachelor’s degree in industrial engineering or a related field.

proficiency in cad software, microsoft excel, and dynamic nav.

strong analytical and problem-solving skills.

solid understanding of manufacturing processes, production planning, quality control, and lean principles.

prior experience in industrial engineering or a manufacturing environment is a strong advantage.

excellent communication and interpersonal skills; comfortable working with both technical and operational teams.

adaptable and open to working in a dynamic, fast-paced environment.",[]
Engineering Manager,Laveer Engineering,"Mondragon, Eastern Visayas",,"join to apply for the engineering manager role at laveer engineering6 days ago be among the first 25 applicants

requisition number: 24421company: w electric nfs francelocation: mondragon, fr; marseille, frwelcome to the future of nuclear energy, where westinghouse electric company is leading the field with expertise and innovation to shape the power of tomorrow. at westinghouse, innovation is in our dna.

we are creative. we think differently. we reimagine the possible across the nuclear industry every day.

about the rolewithin the oms (outage & maintenance services) business unit, westinghouse electric nuclear field services france, based in mondragon (84) - france, develops customized solutions for nuclear power plants and sites. in a context of business growth, we are looking to strengthen our team.

as an engineering team manager, you will lead a local team of 5+ members, distribute activities, and manage resources. you will also participate in project management activities. you will report to the reactor products services engineering manager and be based in mondragon, france, with possible hybrid work arrangements.

main responsibilitieslead the team, assign activities considering team members' skills and experience

supervise team members' goals, performance, training, and development

plan resources effectively

project management dutiesmanage project costs, schedules, quality, deliverables, and risks

ensure compliance with customer requirements

implement internal project management processes

contribute to technical decisions based on engineering expertise

oversee testing, qualification, and operational phases on nuclear sitesqualificationsbac+5 in engineering, mechatronics, robotics, automation, or non-destructive testingover 5 years of project management experience in an industrial setting

proficiency in french and advanced english skills

why westinghouse? we offer a supportive environment with amenities, benefits, and training to help you achieve your goals. our employees enjoy attractive remuneration, recognition programs, learning opportunities, and community engagement.

learn more at westinghousenuclear.com.westinghouse is an equal opportunity employer, including veterans and individuals with disabilities. follow us on social media: twitter, facebook, linkedin, youtube. employment may involve access to regulated information subject to export control laws.

job segment: nuclear engineering, nuclear, engineering manager, project manager, engineer, engineering, energy, technologyseniority level

mid-senior level

employment type

full-time

job function

engineering and information technologyindustriesindustrial machinery manufacturingreferrals can double your chances of interview at laveer engineering. sign in to set job alerts for ""engineering manager"" roles.


#j-18808-ljbffr",[]
Facility Engineer,"iCareerup, Inc.","Santo Tomas, Calabarzon",,"job opening

facility engineer


job industry

semiconductors

job type

full-time

experience level

associate

date posted

2025-01-21

job location

r.s. diaz ave
santo tomas
4234
calabarzon
philippines

company information

icareerup. inc.
gemcarl building 7 national highway , calamba, philippines
calamba, laguna


job qualifications

graduate of engineering course related to maintenance engineering preferably mechanical, electrical, ece, or mechatronics
with related work experience
good interpersonal relations, communication, and negotiation skills,
can collaborate with a higher position

compensation

17500

compensation range

₱15,000 - ₱20,000

number of job opening

5

highest education attainment

college graduate

contact info


contact phone : 09502802*** contact email :",[]
Service Technician,Dempsey Resource Management Inc.,"Makati City, Metro Manila",,"qualifications:
* must possess vocational diploma / certificate on refrigeration and air conditioning, mechatronics and related field
* knowledgeable in refrigeration and air conditioning installation, maintenance and troubleshooting
* willing to do field works
* residence of makati city
* open to fresh graduates (that are willing to be trained)
* can start immediately

key roles:
* maintenance and installation of food and beverage equipment
* documentation and monitoring of assignment

work location: (1) chino roces, makati city
work schedule: monday to friday
salary range: minimum wage",[]
Machine Technician I,Bonafide Trainology Placement Services,"City of Tanauan, Calabarzon",,"- graduate of industrial technology course related to mechanical, electrical, electronics, mechatronics or instrumental control
- fresh graduates are welcome to apply
- with 1 year experience if vocational graduate
- must be knowledgeable in basic automation
- with hands on experience in ms office application
- with good communication and interpersonal skills
- must possess initiative
- willing to be assigned at philippine manufacturing of murata, fpip, tanauan, batangas",[]
Maintenance Technician - Instrumentation and Control,Cagayan Corn Products Corporation,Northern Mindanao,Remote,"cagayan corn products corporation is hiring a full time maintenance technician - instrumentation and control role in cdo, northern mindanao. apply now to be part of our team.


job summary:
flexible hours available
no experience required for this role



the instrumentation technician is tasked with fixing the plant’s instrumentation-related problems. he roves the entire plant at the beginning of his shift to observe machine behavior and prevent operational troubles.

qualifications:

candidate must possess a diploma/vocational/ bachelor’s/college degree in industrial automation and mechatronics, instrumentation control and servicing, industrial automation and control engineering technology, or equivalent

with at least 1 to 2 years of related work experience in industrial instrumentation calibration, maintenance, and installation

highly responsible and with a positive working attitude

willing to work in tablon, cagayan de oro city",[]
REFRIGERATION TECHNICIAN,Versa Group,"Makati City, Metro Manila",Remote,"job responsibilities :

provide service and customer support during field visits or dispatches. managing all on site installation, repair, maintenance and test tasks. diagnose errors or technical problems and determining proper solutions.

job duties :

troubles shoots and perform repairs with minimum customer downtime.

tie workflow to schedule

produce timely and detailed service reports

document processes

follow all company's filed procedures and protocols

cooperate with technical team and share information across the organization

comprehend customer requirements and make appropriate recommendations/briefings

build positive relationships with customers

to be successful in this role, you will need to have :

candidate must possess at least a vocational diploma / short course certificate in refrigeration, bachelor's/college degree , engineering (electrical/electronic), engineering (mechatronic/electromechanical) or equivalent.

at least 1 year(s) of working experience in the related field is required for this position.

minimum 1 year hands-on experience maintaining commercial refrigeration systems and equipment

applicants must be willing to work in quezon city and makati city.

1-4 yrs experienced employees specializing in maintenance/repair (refrigeration & machinery), electrical or equivalent.

experienced in repair/maintenance of wine chiller is a plus point

good in verbal and written communication skills

will conduct field work within and outside metro manila.

must possess valid nc ii certification in rac servicing from tesda or equivalent qualification

proficiency in reading electrical schematics and troubleshooting electronic control systems

must be able to lift up to 25kg and work in various positions (standing, crouching, climbing)",[]
Process / Product Engineer,Jade Solutions and Management Services,"Muntinlupa, Metro Manila",Remote,"process engineers (laguna, calabarzon)

qualifications:

graduate of engineering course: bs chemical, electrical, electronics and communication,
mechanical, mechatronic/electromechanical, or relevant field
minimum one (1) year of experience in electronics or semiconductor industry
knowledgeable in windows office ( excel, powerpoint, word)
must have good communication skills
willing to work on shifting schedule
can work with minimum supervision",[]
