Role of Job,Company Name,Company Location,Type of Work,Description,extracted_skills
REFRIGERATION TECHNICIAN,Versa Group,"Makati City, Metro Manila",Remote,"job responsibilities :

provide service and customer support during field visits or dispatches. managing all on site installation, repair, maintenance and test tasks. diagnose errors or technical problems and determining proper solutions.

job duties :

troubles shoots and perform repairs with minimum customer downtime.

tie workflow to schedule

produce timely and detailed service reports

document processes

follow all company's filed procedures and protocols

cooperate with technical team and share information across the organization

comprehend customer requirements and make appropriate recommendations/briefings

build positive relationships with customers

to be successful in this role, you will need to have :

candidate must possess at least a vocational diploma / short course certificate in refrigeration, bachelor's/college degree , engineering (electrical/electronic), engineering (mechatronic/electromechanical) or equivalent.

at least 1 year(s) of working experience in the related field is required for this position.

minimum 1 year hands-on experience maintaining commercial refrigeration systems and equipment

applicants must be willing to work in quezon city and makati city.

1-4 yrs experienced employees specializing in maintenance/repair (refrigeration & machinery), electrical or equivalent.

experienced in repair/maintenance of wine chiller is a plus point

good in verbal and written communication skills

will conduct field work within and outside metro manila.

must possess valid nc ii certification in rac servicing from tesda or equivalent qualification

proficiency in reading electrical schematics and troubleshooting electronic control systems

must be able to lift up to 25kg and work in various positions (standing, crouching, climbing)",[]
Process / Product Engineer,Jade Solutions and Management Services,"Muntinlupa, Metro Manila",Remote,"process engineers (laguna, calabarzon)

qualifications:

graduate of engineering course: bs chemical, electrical, electronics and communication,
mechanical, mechatronic/electromechanical, or relevant field
minimum one (1) year of experience in electronics or semiconductor industry
knowledgeable in windows office ( excel, powerpoint, word)
must have good communication skills
willing to work on shifting schedule
can work with minimum supervision",[]
"One (1) University Research Associate II under Research Office, BatStateU, Central Administration",Batangas State University,"Davao City, Davao",Remote,"education

bachelor’s degree in electronics engineering (bs ece) or mechatronics engineering (mexe) or other related engineering courses

experience

minimum of 3 years of experience in the field of research and development

expertise

good written and oral communications with experience in logistics, regulatory compliance and risk assessment is a plus.
analytical and

problem-solving skills, adaptability and willingness to learn.

must be a team player with good working attitude, commitment and dedication.
self-motivated and able to multi-task and work under pressure with minimum supervision.
knowledge in programming electronics and fabrication.

competency

good written and oral communications with experience in logistics, regulatory compliance and risk assessment is a plus.
analytical and

problem-solving skills, adaptability and willingness to learn.

must be a team player with good working attitude, commitment and dedication.
self-motivated and able to multi-task and work under pressure with minimum supervision.
knowledge in programming electronics and fabrication.

eligibility

none required.

duties and responsibilites

please see attached file.",[]
Machine Operator,International Pharmaceutials,"Tingub, Central Visayas",Remote,"job description:

handle and operate machines in production facility

job requirements:

graduate of bs mechatronics/cite graduate/any related course

1 year experience in a manufacturing environment is an advantage

willing to work on shifting schedule (day/graveyard shift)",[]
Digital Solutions Engineer,,"Makati City, Metro Manila",Remote,"job summary

the automations and projects engineer is responsible for designing and implementing automated solutions to improve business efficiency and streamline operations. this role focuses on using make.com to develop automated workflows, monday.com to optimize team collaboration, and aws services to build and maintain a secure, scalable digital infrastructure. this position oversees automation and digital transformation projects, working closely with stakeholders to define requirements, set timelines, and ensure successful execution. the role also supports company-wide innovation by identifying new technologies and improving existing workflows to enhance productivity. collaboration is key, as the automations and projects engineer partners with it, finance, operations, and other teams to understand their needs and develop tailored automation solutions. ongoing monitoring and support are essential to ensure optimal performance and continuous improvement of implemented solutions. this role is ideal for a problem-solver who is passionate about automation, technology, and driving efficiency through digital solutions.

key responsibilities
1. automation implementation: design, develop, and implement automated workflows and solutions using make.com to streamline and enhance business processes across departments.
2. project management: oversee and manage various automation and digital transformation projects. coordinate with stakeholders to define project requirements, timelines, and deliverables.
3. digital infrastructure: build and maintain the company’s digital infrastructure using aws services. ensure the reliability, scalability, and security of digital solutions.
4. workflow optimization: utilize monday.com to create and optimize workflows that improve efficiency and collaboration among departments. customize and automate tasks to align with departmental needs.
5. innovation and change: drive initiatives that support the company’s change transformation and innovation objectives. identify and propose new technologies and processes that can benefit the organization.
6. collaboration: work closely with it, finance, operations, and other departments to understand their needs and develop automation solutions that address their specific challenges.
7. monitoring and support: monitor the performance of implemented solutions, provide ongoing support, and make adjustments as necessary to ensure optimal functionality and effectiveness.",[]
BMS Programmer,OSP Esco International Inc.,"Marikina City, Metro Manila",Remote,"preferably graduate of mechanical engineering, mechatronics engineering, electronic communication engineering, electrical engineering and information communication technology(ict), information technology(it)  

preferably with bms programming experience but not required

with working experience in instrument mounting, setup, configuration, and verification, bms programming, services and maintenance.

ability to build and design bms systems to monitor and regulate various building services, including chillers, heat exchangers, hvac, lighting, power metering, etc.

knowledge in different bms brand, such as niagara, johnson controls, etc. is a plus

knowledge of it and graphic design for bms is an advantage.

experience working with multi-disciplinary teams.

excellent problem-solving skills and attention to detail.

strong verbal and written communication skills.",[]
System Configuration Management Engineer,Hyundai Rotem Company,"Manila, Metro Manila",Remote,"roles and responsibilities:

establishing and maintaining the configuration management plan;

establishing the overall e&m system configuration management policies;

assuring that configuration management principles and policies are correctly understood and implemented among involved subsystem organizations;

assuring that a correct change control process is applied, accordingly with this configuration management plan and relevant procedures (when applicable), and to reflect the results of approved changes into system baselines.

reporting within e&m system the results of configuration management process;

provide guidance to subsystem suppliers, supervise their activities and review the related outputs;

approving the identification of configuration and subsequent modifications to the baselines;

educate and support subsystem suppliers to deliver their ram activities.

identify and report ram related issues to the system assurance managers;

coordinate ram activities with subsystem supplier ram manager;

assess and validate system ram analysis results;

consolidate and summarize ram analysis data provided by subsystems suppliers;

lead discussion on ram related issues at rwg meetings.

other related tasks that may be assigned from time to time

qualifications:

candidate must possess a bachelor's degree in engineering or equivalent.

more than 5 year(s) of working experience in railway system, rams, and configuration management

with railway experience.

knowledgeable in using microsoft office (word, excel and powerpoint)

with good communication skills

employment details:

target start date: asap

for full-time, regular position

inclusive of company-offered benefits:

life and accident insurance upon hire

government-mandated benefits

leave entitlements and hmo upon regularization

performance review and salary adjustment yearly",['sis']
Line Maintenance Technician,Splash Corporation,"Valenzuela, Metro Manila",Remote,"job description:

we are looking for a dedicated line maintenance engineer to join our growing team. the ideal candidate will be responsible for ensuring the smooth and continuous operation of production machinery through effective troubleshooting and maintenance.

key responsibilities:

conduct regular inspections, preventive maintenance, and repairs on production equipment.

troubleshoot mechanical and mechatronic issues to minimize downtime.

collaborate with production and engineering teams to implement machinery improvements.

maintain detailed records of maintenance activities and equipment performance.

qualification:

bachelor’s degree in engineering (preferably mechatronics or mechanical) or any related technical course.

strong analytical and problem-solving skills.

a team player with a proactive attitude.",[]
Sr. Engineer - ServiceNow ITOM and CMDB,Cardinal Health,"Taguig, Metro Manila",Remote,"join to apply for the sr. engineer - servicenow itom and cmdb role at cardinal health3 days ago be among the first 25 applicants

join to apply for the sr. engineer - servicenow itom and cmdb role at cardinal healthget ai-powered advice on this job and more exclusive features. what application development & maintenance brings

to cardinal healthinformation technology oversees the effective development, delivery, and operation of computing and information services. this function anticipates, plans, and delivers information technology solutions and strategies that enable operations and drive business value. application development & maintenance performs configuration or coding to develop, enhance and sustain the organization's software systems in a cross-functional team environment through adherence to established design control processes and good engineering practices.

the servicenow technical lead is responsible for the application portfolio management/cmdb/discovery/service mapping health, transformation, and ongoing maintenance of the itom space with inclusion of the build and maintenance activities. operational responsibilities encompass the day-to-day management and optimization of itom to ensure seamless functionality. this includes upgrades and overseeing the design and implementation of all enhancements and project-related transformational changes.

lead chip data team and collaborate with us team (data developers, business analysts and clients). the tech lead will also coach and mentor less experienced members of the team. lead operational effectiveness: acts as sme.

responsible for leading team to complete servicenow data incidents, defects, and tasks according to established sla’s. performs daily health checks on cmdb, discovery data including monitoring jobs, data loads and mid servers. identifying, diagnosing, and resolving data discrepancies and issues within itom, applying root cause analysis, and implementing corrective actions.

data integrity and quality: performs software installations/upgrades, creation, configuration, and loads data and enforce strict data governance and quality standards within the cmdb, ensuring data integrity and reliability for operational and decision-making processes. promotes servicenow and cmdb best practices and recommends out of the box solutions where appropriate. integration and development: leads implementation projects, provides updates on projects and proactively comminucates issues that may impact project success.

develops and integrates servicenow with external systems to enrich cmdb data, utilizing rest, soap apis, and other web services. focus on automating data import and synchronization processes to ensure up-to-date information. discovery configuration: configures and fine-tunes servicenow discovery patterns and schedules to accurately identify and map it infrastructure and services, minimizing gaps in the cmdb.

create/maintain new schedules and patterns. continuous improvement: recommends and implements enhancements to improve data quality, processing efficiency, and performance. participates in platform communities and stay up to date on new software technologies and best practices.

collaboration: works effectively in a cross-functional team environment, communicating with stakeholders across it and business units, participate in sprint planning, refinement, and execution. qualificationsbachelor’s degree in related field or equivalent work experience10+ years of hands-on experience in service now itom (cmdb administration, discovery& service mapping), and itsm processes

minimum of 5+ years working on a team as part of a large it organization.minimum of 5+ years leading build/run team members.proficient in sdlc and agile methodology

excellent oral and written communication skills and organizational skills. experience with scripting and automation in servicenow (javascript, unix shell scripting, windows scripting, powershell, perl, python). experience with service graph connectors & various data sources.

experience in web technologies and apis (rest, soap). experience with application portfolio management, information objects & tpm.experience using csdm framework & configuring dynamic ci groups. applies advanced knowledge and understanding of concepts, principles, and technical capabilities to manage a wide variety of projects.

excellent analytical and problem-solving skills, with the ability to generate actionable insights from data. understanding of incident management, change management, configuration management, and release management as it relates to itil.certifications requiredservicenow fundamentalsservicenow discovery fundamentalsservicenow certified implementation specialist – discoveryservicenow certified implementation specialist – service mappingconfiguration management database (cmdb) fundamentalsitilv4 foundationscloud gcp/aws certification preferred. what is expected of you and others at this level?

applies comprehensive knowledge and a thorough understanding of concepts, principles, and technical capabilities to perform varied tasks and projects

may contribute to the development of policies and procedures

works on complex projects of large scope

develops technical solutions to a wide range of difficult problems. solutions are innovative and consistent with organization objectives

completes work independently receives general guidance on new projects

candidates who are back-to-work, people with disabilities, without a college degree, and veterans are encouraged to apply. cardinal health supports an inclusive workplace that values diversity of thought, experience and background. we celebrate the power of our differences to create better solutions for our customers by ensuring employees can be their authentic selves each day.

cardinal health is an equal opportunity/affirmative action employer. all qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, ancestry, age, physical or mental disability, sex, sexual orientation, gender identity/expression, pregnancy, veteran status, marital status, creed, status with regard to public assistance, genetic status or any other status protected by federal, state or local law. seniority level

seniority levelassociateemployment type

employment type

full-time

job function

job function

engineering and information technologyindustrieshospitals and health care, transportation, logistics, supply chain and storage, and medical equipment manufacturingreferrals increase your chances of interviewing at cardinal health by 2xget notified about new senior engineer jobs in taguig, national capital region, philippines.makati, national capital region, philippines 2 days ago

manila, national capital region, philippines 1 week ago

pasay, national capital region, philippines 1 week ago

engineering manager philippines & indonesiamanila, national capital region, philippines 12 hours ago

engineering manager philippines & indonesiamanila, national capital region, philippines 12 hours ago

makati, national capital region, philippines 2 weeks ago

quantity surveyor (electrical engineer) - pasigpasig, national capital region, philippines 1 month ago

taguig, national capital region, philippines 3 weeks ago

engineering manager philippines & indonesiapasay, national capital region, philippines 3 weeks ago

quezon city, national capital region, philippines 3 weeks ago

taguig, national capital region, philippines 1 week ago

engineering manager philippines & indonesiaengineering manager philippines & indonesiamanila, national capital region, philippines 6 hours ago

engineering manager philippines & indonesiamakati, national capital region, philippines 1 week ago

manila, national capital region, philippines 1 week ago

taguig, national capital region, philippines 3 days ago

taguig, national capital region, philippines 2 weeks ago

engineering manager philippines & indonesiacountry senior engineer, patient care solutionstaguig, national capital region, philippines 2 months ago

pasay, national capital region, philippines 3 days ago

country senior engineer, patient care solutionstaguig, national capital region, philippines 1 day ago

taguig, national capital region, philippines 2 weeks ago

manila, national capital region, philippines 1 month ago

taguig, national capital region, philippines 2 days ago

we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr",['sis']
Manufacturing Engineer I,Ultra Clean Technology,"Cebu City, Central Visayas",Remote,"essential duties and responsibilities:

conduct welding (lod & uhp) technical supervision and guidance on the manufacturing floor.
liaise and coordinate with the manufacturing department on wps/pqr creation.
ensure appropriate welding programs are implemented on the manufacturing floor.
evaluate manufacturing processes and develop process control plans, pfmea, and risk assessments.
ensure compliance with por and ce standards.
collaborate with manufacturing, engineering, and quality departments to drive continuous improvement in quality, efficiency, and manufacturing cycle time.
initiate and support manufacturing process improvements and standardization.
provide technical support for troubleshooting issues related to quality, first pass yield, and process deviations.
participate in product transfer activities, including team training, understanding equipment and facility requirements, and build/test procedures.
coordinate with engineering and material departments on specifications, bom, and material issues.
coordinate with quality department on supplier and customer quality issues, including rcca and 8d reports.
collaborate with test engineering on testing development and issues.
engage with customers regarding bom, drawings, and design issues by generating problem reports, supplier problem sheets, and deviation requests with summaries.
participate in mrb meetings, make justifiable dispositions, analyze data, and work with relevant departments and suppliers to reduce non-conformance.
possess basic cad knowledge to analyze 3d drawings from customers.

educational/certification requirements:

bachelor’s degree in welding, material, mechanical, mechatronics, or industrial systems engineering.
diploma in welding, material, mechanical, mechatronics, or industrial systems engineering with at least 5 years of relevant experience.

experience requirements:

minimum 2 years of relevant experience; 5-10 years for senior positions.
familiarity with welding processes for industrial products and welding inspection processes.
experience in the semiconductor industry is preferred.
good communication skills in english, able to interpret english drawings.
self-motivated, resourceful, and possess a positive ""can-do"" attitude.
ability to develop positive working relationships within teams and across functions.
demonstrates good workmanship according to industrial standards.
excellent interpersonal, communication, and presentation skills.
willing to perform additional tasks as assigned by management.
adheres to work ethics and integrity.
knowledge of six sigma is a plus.

#j-18808-ljbffr",[]
Plant Electrician,Aram Enterprises Inc,"Papua New Guinea POEA, DMW",Remote,"
dmw license no: dmw-180-lb-09272023-r
accreditation no: 5927
job description:
management and installation of all electrical works for factory machinery, wiring, fixtures ( aircons, refrigerators, etc ) and distribution boards are well maintained for safety and optimum performance.
installation and maintenance of freezers, switch boards, factory food manufacturing machinery.
installation and maintenance of electrical systems for all company houses, motor vehicles.
hiring, supervision and firing of section staff as required to complete the jobs.
purchase, maintenance and control of electrical materials, spare parts, tools and components.
check for defects and quality to meet safety standards.
programming of electrical equipment and machinery such as inverters, drives, digital control boards.
qualification:
a minimum of 5 year(s) of working experience is required.
candidates must be a vocational diploma / short course certificate holder in engineering(electrical/electronic); engineering(industrial); engineering(others) or similar fields.
diploma in electrical engineering, or industrial/electrical technology, or any related field.
electrical engineer with at least 5 years experience in industrial and manufacturing sector.
degree in electrical technology, engineering. diploma in mechatronics
experience in manufacturing, gensets and industrial wiring, programming
additional information:
diploma in electrical engineering, or industrial/electrical technology, or any related field.
electrical engineer with at least 5 years experience in industrial and manufacturing sector.
degree in electrical technology, engineering. diploma in mechatronics
experience in manufacturing, gensets and industrial wiring, programming",[]
IT Automation Engineer - PH,3GC Group,"Manila, Metro Manila",,"about the rolewe are seeking an experienced automation engineer to join our it automation & integration team. this role involves designing, implementing, and managing sophisticated automated systems and integrations to streamline infrastructure operations and optimize workflows. the successful candidate will work independently and collaboratively with cross-functional teams to develop robust solutions that enhance service reliability, scalability, and performance.

responsibilitiescollaborate with stakeholders to define and understand project requirements and kpis. design, implement, and manage automated infrastructure and workflow solutions that improve operational efficiency. build, deploy, and maintain comprehensive monitoring, logging, and alerting systems to ensure service availability and reliability.

develop, optimize, and maintain high-quality automation solutions using coding (python, bash), low-code, and no-code tools. provide advanced technical support and troubleshooting, performing root cause analysis and incident resolution. regularly communicate project status, progress, risks, and recommendations clearly to management and stakeholders.

mentor junior team members and provide guidance on best practices in devops and automation. stay current with emerging technologies and proactively suggest improvements to existing processes and tools. requirementson day one we'll expect you to...have at least 10 years it experience.

have 3-5 years of experience in devops, it automation, or infrastructure engineering roles. be proficient with linux/unix and/or windows operating systems and command-line tools. have a strong scripting and automation experience using languages such as python, bash, or powershell.

have experience managing infrastructure and applications using cloud platforms such as aws or gcp.have hands-on experience designing and implementing restful apis and integrations. have proven analytical and problem-solving abilities, with meticulous attention to detail. have excellent collaboration and communication skills, capable of clearly articulating complex technical concepts to diverse audiences.

have strong experience with version control systems (git) and software development best practices. have the ability to work remotely on a pdt/pst schedule. be a current resident of the philippines and legally able to perform work from there.

have a fully functional and up-to-date computer with which to perform duties. be willing to install next-generation endpoint protection on the computer. what separates the best from the rest:in-depth understanding of saas deployment models and experience integrating cloud-based solutions such as salesforce, google workspace, or microsoft office 365.

solid experience with database management systems (mysql, postgresql, mongodb) and query optimization. proficiency in using project management and tracking tools such as jira to manage tasks, report progress, and communicate project statuses. experience with identity and access management (iam) systems and best practices, including integration with cloud platforms and applications.

demonstrated experience implementing and managing ci/cd pipelines, automation workflows, and infrastructure as code (iac). writing and updating system documentation and providing user training. note: this is a remote (work from home) job.


#j-18808-ljbffr",['sis']
Maintenance Planner – Calauan Laguna-based,"BSFIL Technologies, Inc.","Muntinlupa, Metro Manila",Remote,"job descriptionduties & responsibilities:responsible for planning work orders, repairs, servicing and efficient functioning of all machinery and equipment inside the plant. prepare technical documentations that will support the crew in performing their duties. this includes drawings, diagrams, pid and flow charts.

provide a complete record of machine repair history for analysis. identifying, ordering and tracking materials / parts / equipment requirements of planned work. determine schedule sequence and resource requirements to complete planned work.

in-charge in developing, updating and controlling of engineering department’s documentation. in-charge in receiving and preparation of reports for transmittal, purchase requisition and deliveries. provide accurate recording and inventory of all spare parts and consumables.

performs other duties assigned by immediate superior. required skills & competencies:mechanical / electrical knowledge of the operation and maintenance of food industry and experience in large mechanical / electrical equipment service and repair. knowledge in hydraulic, pneumatic, mechanical, and other mechanical system.

knowledge of electrical system, safety and environmental issues related to stp, diesel engines and boilers. must be computer literate and effectively uses office application software. knowledge and experience in cad.aptitude for hands-on work coupled with strong analytical skills.

educational background / training / experience:candidate must possess at least a bachelor’s/college degree , engineering (electrical/electronic), engineering (industrial), engineering (mechanical), engineering (others), engineering (mechatronic/electromechanical) or equivalent. for inquiries, you may contacthoney grace ***************@bsfiltechnologies.com(049) 568-0554 / 09088944***job type: full-time

pay: php25,000.00 – php28,000.00 per monthbenefitsadditional leave

company christmas gift

company events

health insurance

opportunities for promotion

paid training

pay raiseeducationbachelor’s (preferred)experiencemaintenance planning: 1 year (required)


#j-18808-ljbffr",['sis']
QA Automation Engineer (WFH - day shift),Sysgen,"Manila, Metro Manila",Remote,"understanding

- a knowledge and understanding of software development life cycle

- a knowledge and understanding of quality assurance

- a knowledge and understanding of agile and scrum/sprint

- a knowledge and understanding of functional and non-functional testing

manual testing

- experience in testing web applications

- experience in testing e-commerce systems

- experience in creating qa documentations

- experience in different testing strategies and testing stages

automation

- an understanding of automation frameworks

- experience in using visual studio

- experience in writing automated scripts in c# code

- an understanding of and experience in using page factory and page object model

agile

- experience in working on an agile scrum/sprint setting

- experience in working with onshore counterparts

- experience in working with developers and other stakeholders

deployment

- experience in building docker for server automation setup

others

- experience using jira, confluence, git versioning

- can write actual code when creating automation scripts

non-negotiable qualifications

minimum 5+ years of hands-on experience in manual and automation software testing

solid understanding of the software development life cycle (sdlc), including qa processes and best practices

practical knowledge of agile methodologies, particularly scrum and sprint-based development

proven experience in functional and non-functional testing across web and e-commerce platforms

strong capability in writing and executing test cases, with experience creating comprehensive qa documentation

demonstrated ability to build and maintain automated test scripts using c# within visual studio

familiarity with automation design patterns such as page factory and page object model (pom)

experience collaborating with cross-functional agile teams, including onshore developers and stakeholders

working knowledge of deployment tools such as docker for automation environment setup

proficient in using industry-standard tools such as jira, confluence, and git for test tracking, documentation, and version control

ability to write actual test automation code from scratch—not reliant on low-code or record-and-playback tools",[]
Preventive Maintenance Mechanic (Cebu),Coca-Cola Europacific Aboitiz Philippines,"Cebu, Central Visayas",,"job title: preventive maintenance mechanic

location: cebu plant

reporting to: engineering team leader

at coca-cola europacific aboitiz philippines, we are driven by our purpose to refresh the philippines and make a difference – continuously leading the beverage industry with our great people, great beverages, great execution, and great partners. as we continue to grow and shape the future, we are seeking passionate and innovative talents to join our team and make a difference with us.

our commitment to excellence has been recognized through numerous industry awards such as great place to work, best workplaces in asia, dream employer of the year, and universum’s most attractive employers – and we take pride in our achievements and the impact we have made in the beverage industry.

job summary: this role provides 2nd line maintenance support to the line in the event of equipment failures and executes planned & corrective maintenance.

position requirements:

graduate related to electromechanical, mechatronics engineering/technology field

preferably with at least 2 years experience in fmcg manufacturing plant

possesses technical skill set including computer literacy, welding, lathe operation, pneumatics, mechanical maintenance, power transmission systems, root cause analysis, and basic knowledge of electrical and automation systems.

candidate must be willing to be assigned in cebu plant",['sis']
Product Technician / Engineer,Norde International Distributors,"Manila, Metro Manila",,"job description:

we are looking for a hands-on, solutions-driven product technician / engineer to join aqara philippines — a global leader in smart home automation. this role blends technical expertise, customer-facing support, and solutions architecture. you will work closely with our sales team and customers to provide pre-sales technical consultation, design and recommend smart home solutions, and deliver post-sales installation support, troubleshooting, and training.

the ideal candidate has a strong understanding of iot technologies, smart home automation systems, and electrical works. you will be the go-to technical expert for ensuring smooth project delivery and customer satisfaction.

---

key responsibilities:

pre-sales:

· provide technical consultation to clients, system integrators, and dealers.

· assist in designing smart home solutions based on client needs.

· conduct product demos and technical presentations.

post-sales:

· provide technical support for installation, configuration, and troubleshooting.

· conduct site inspections and guide installers or contractors on product setup.

· train clients and partners on using aqara devices and platforms.

technical expertise & development:

· maintain updated knowledge on aqara products and emerging smart home technologies.

· provide feedback for product improvement and solution optimization.

---

qualifications:

· diploma / bachelor’s degree / vocational certificate in electronics, electrical engineering, computer engineering, mechatronics, it, or related fields.

· 1–3 years’ experience in iot, smart home automation, or related industries.

· knowledge of electrical works, wiring, and device installation.

· strong problem-solving skills with a customer-focused mindset.

· ability to work independently and on-site when required.",['sis']
Warehouse Maintenance Engineer - Mega FM (Valenzuela/Ugong),Shopee,"Valenzuela, Metro Manila",,"requirements:

at least bachelor’s degree (e.g. mechatronics / electrical / instrumentation engineering)

licensed electrical engineer

preferred to have 2-3 years of experience in automated warehouse / manufacturing facility; or at least mechanical engineering experience

should be mobile or able to support multiple warehouse locations

willing to do field work

job description:

responsible for all aspects concerning the operations and maintenance of electrical/ electronics/mechanical parts of the conveyors, warehouse facilities' construction, fire protection

establish and refine preventive maintenance programs, employee training programs, manpower scheduling techniques, spare parts inventory, efficiency improvement programs, regulatory compliance programs, etc.

oversee maintenance procedures, schedules, work orders, procurement of machine spare parts and tools

recommend solutions to increase operating efficiency, performance, safety, and reliability. 

ensure proper maintenance activities are carried out periodically and systematically by technician team",[]
Senior Test Automation Engineer (WFH/HMO on Day 1),Genpact,"Makati City, Metro Manila",,"senior test automation engineer

makati city

ready to build the future with ai?

at genpact, we don’t just keep up with technology—we set the pace. ai and digital innovation are redefining industries, and we’re leading the charge. genpact’s ai gigafactory, our industry-first accelerator, is an example of how we’re scaling advanced technology solutions to help global enterprises work smarter, grow faster, and transform at scale. from large-scale models to agentic ai, our breakthrough solutions tackle companies’ most complex challenges.

if you thrive in a fast-moving, innovation-driven environment, love building and deploying cutting-edge ai solutions, and want to push the boundaries of what’s possible, this is your moment.

genpact (nyse: g) is an advanced technology services and solutions company that delivers lasting value for leading enterprises globally. through our deep business knowledge, operational excellence, and cutting-edge solutions – we help companies across industries get ahead and stay ahead. powered by curiosity, courage, and innovation, our teams implement data, technology, and ai to create tomorrow, today. get to know us at genpact.com and on linkedin, x, youtube, and facebook.

inviting applications for the role of lead consultant, senior test automation engineer!

in this role, you will be a key member of our test automation and global development team. you will design, develop, and execute comprehensive test plans and cases while collaborating with cross-functional teams to ensure robust test coverage. your expertise in functional testing and automation frameworks will help us deliver high-quality enterprise platforms.

responsibilities

·       design, develop, and execute comprehensive test plans and test cases.

·       collaborate with development, product management, and other cross-functional teams to understand requirements and ensure comprehensive test coverage.

·       perform functional, regression, integration, and performance testing.

·       develop, execute, and maintain automated test scripts.

·       potentially work on the continuous integration framework for the automation suite.

·       build automation frameworks and scripts for end-to-end testing, including api, ui, and other types of testing.

·       identify, document, and track software defects and work with the development team to resolve issues.


qualifications we seek in you!

minimum qualifications / skills

·       experience in software testing and test automation.

·       strong java skills.

·       proficiency in selenium or playwright.

·       experience with sql and rest apis.

·       strong core testing skills with the ability to influence test approaches for repeatable testing and sustainable automation.

·       experience working on enterprise erp platforms.

·       familiarity with etl testing and ci/cd processes.

 


preferred qualifications/ skills

·       strong communication and collaboration skills to work effectively in a team environment.

·       ability to operate independently while following existing framework guidelines.

·       resourcefulness in problem-solving and clear articulation of outputs for non-technical stakeholders.

·       capability to navigate vague specifications and coordinate with stakeholders to clarify expectations.

why join genpact?

·       lead ai-first transformation – build and scale ai solutions that redefine industries

·       make an impact – drive change for global enterprises and solve business challenges that matter

·       accelerate your career—gain hands-on experience, world-class training, mentorship, and ai certifications to advance your skills

·       grow with the best – learn from top engineers, data scientists, and ai experts in a dynamic, fast-moving workplace

·       committed to ethical ai – work in an environment where governance, transparency, and security are at the core of everything we build

·       thrive in a values-driven culture – our courage, curiosity, and incisiveness - built on a foundation of integrity and inclusion - allow your ideas to fuel progress

come join the 140,000+ coders, tech shapers, and growth makers at genpact and take your career in the only direction that matters: up. 

let’s build tomorrow together.

genpact is an equal opportunity employer and considers applicants for all positions without regard to race, color, religion or belief, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. genpact is committed to creating a dynamic work environment that values respect and integrity, customer focus, and innovation.  
 furthermore, please do note that genpact does not charge fees to process job applications and applicants are not required to pay to participate in our hiring process in any other way. examples of such scams include purchasing a 'starter kit,' paying to apply, or purchasing equipment or training.",[]
Senior Engineer,Cal-Comp,"Santo Tomas, Calabarzon",,"key responsibilities:

software design & architecture:

develop high-level and low-level design documentation for software components and systems.

lead design and architecture reviews to ensure software solutions align with business objectives and technical standards.

development and coding:

write clean, efficient, and maintainable code in various programming languages (e.g., java, python, c++, javascript, labview etc.).

develop new features and improve existing software by implementing enhancements and optimizations.

ensure software is developed according to industry best practices, coding standards, and company policies.

continuous improvement and optimization:

drive continuous improvement efforts in both the software development lifecycle and engineering practices.

optimize application performance, scalability, and reliability by proactively identifying bottlenecks and areas for improvement.

stay up-to-date with emerging technologies and industry trends to ensure the team is using modern tools and practices.

lead the planning, design, and delivery of software projects, ensuring deadlines and technical goals are met.

provide technical direction and support to teams during the software development process.

communicate effectively with internal teams and vendors, including product managers, project managers, and other engineering teams, to understand requirements and provide status updates.

required skills & qualifications:

bachelor’s degree in computer science, mechatronics engineering, or a related field

5+ years of professional experience in software development

proficiency in at least one major programming language (e.g., java, python, c++, javascript).

in-depth knowledge of software engineering best practices, design patterns, and architecture.

strong understanding of data structures, algorithms, and system design principles.

experience with aoi (automatic optical inspection) implementations is an advantage.

strong problem-solving skills and the ability to debug and troubleshoot complex issues.

knowledge of cybersecurity best practices.",[]
Business Development Supervisor,"Industrial Controls Systems, Inc. (Icon)","Manila, Metro Manila",,"job responsibilities:

work with sales team in developing business plans to achieve company goals.
coordinate with sales and engineering team in product development activities.
coordinate with cross-functional teams (sales, application, engineering) to provide product engineering, development, management and sales solutions.
work with business team to identify new customers and to retain existing customers.
provide support/technical expertise on every business opportunities (mro or projects).
main point person or coordinator between endress+hauser and icon
stay up to date with product knowledge, business flow, sales process and maintain a high degree of competence
check, evaluate and able to advise on rfqs (directly handled by me or by a designer a.e. on direct mro rfqs)
performing product presentations or demonstration for customers, staff, and other stakeholders
answering all product-related questions and addressing queries promptly
tracks, reviews and assists on the implementation of business plan to hit targeted goals.

job qualifications:

a degree holder in mechanical/electrical, mechatronics or instrumentation and control engineering.
at least 5 years in experience on application engineering or back-end support of sales team.
a plus if there is field experience on installation and commissioning of instruments.

benefits:

company events
opportunities for promotion
paid training
pay raise
promotion to permanent employee

head office:

4th floor, r-place bldg. no.12 faustino st. brgy. holy spirit quezon city philippines 1127",['sis']
