Role of Job,Company Name,Company Location,Type of Work,Description
Industrial Automation Technician,"Philsearch Consulting, Inc.","Tarlac City, Central Luzon",N/A,"qualifications:

1. diploma or degree in electrical/electronics engineering, mechatronics, or related field

2. proven experience in industrial automation, control systems, and equipment maintenance

3. familiarity with plc, scada, and hmi systems

skill sets

1. strong understanding of electrical, mechanical, and control systems

2. troubleshooting and problem-solving skills for complex systems

3. experience with frequency inverters, sensors, and actuators

4. knowledge of closed-loop control systems and feedback mechanisms

5. familiarity with poultry farm equipment and automation systems (desirable)

6. strong analytical and communication skills

7. ability to work independently and collaboratively in a team"
Application Engineer Associate,Regal Rexnord,"Manila, Metro Manila",N/A,"position summary:

provide technical assistance to customers and other company personnel in the general use of ips products, using knowledge of engineering principles and techniques, on assigned products under the general direction of application engineering. provides online chat, phone or email support addressing both internal and external inquires.

major responsibilities:

1. responds to email, telephone, web chat and written inquiries from customers, distributors, sales and other company personnel to provide technical support regarding company product by phone, email or written correspondence.

2. completes internal and external technical request which includes but not limited to product and application troubleshooting and product selection.

3. coordinates technical data for use with computer programs as necessary for customer and ips applications including e-commerce activities for intranet, internet and extranet. provides updates to online product information, interchange tools and product faqs.

4. assists in the updates of product information of distributor’s system.

5. handles departmental routines promptly and courteously, reporting anticipated or encountered problems to supervisor.

6. prepares reports on status of activities, projects and initiatives assigned in defined timeframes or as requested.

7. follow regal rexnord ethics and environmental programs.

8. performs other jobs and duties as assigned.

required education / experience / skills:

• four year bs degree in mechanical, industrial or electrical engineering.

• english language skills are required. skills in other languages are a plus.

• knowledge of power transmission products relating to how used and/or how manufactured is preferred.

• pc literate. microsoft office user skills required. access skills preferred.

• good communication skills and people skills are required.

• able to read/interpret blue prints as well as tolerance schemes.

• relational database and/or oracle experience preferred.

travel: as needed

language: english

about regal rexnord


regal rexnord is a publicly held global industrial manufacturer with 30,000 associates around the world who help create a better tomorrow by providing sustainable solutions that power, transmit and control motion. the company’s electric motors and air moving subsystems provide the power to create motion. a portfolio of highly engineered power transmission components and subsystems efficiently transmits motion to power industrial applications. the company’s automation offering, comprised of controls, actuators, drives, and precision motors, controls motion in applications ranging from factory automation to precision control in surgical tools.

the company’s end markets benefit from meaningful secular demand tailwinds, and include factory automation, food & beverage, aerospace, medical, data center, warehouse, alternative energy, residential and commercial buildings, general industrial, construction, metals and mining, and agriculture.

regal rexnord is comprised of three operating segments: industrial powertrain solutions, power efficiency solutions, and automation & motion control. regal rexnord has offices and manufacturing, sales and service facilities worldwide. for more information, including a copy of our sustainability report, visit regalrexnord.com."
Manager Electronic Engineer,Advanced Energy,"Manila, Metro Manila",N/A,"position: principal electronic engineerabout advanced energyadvanced energy industries, inc. (nasdaq: aeis), enables design breakthroughs and drives growth for leading semiconductor and industrial customers. our precision power and control technologies, along with our applications know-how, inspire close partnerships and innovation in thin-film and industrial manufacturing. we are proud of our rich heritage, award-winning technologies, and we value the talents and contributions of all advanced energy's employees worldwide.

responsibilitiesanalyze & understand the control requirements of ac-dc & dc-dc converters

design & develop control architecture and control fw for new topologies

develop mathematical and simulation control models

implement control strategies using industry standard software tools like matlab and simulink (model based design)perform functional testing of control strategies at the test block

extend support in analyzing/solving issues related to digital control for npi teams

do design reviews for hw/fw control implementations

mentor junior engineerscollaborate with other design sites for new control solutions/improvementsqualificationsbachelor’s degree in electrical engineering or electronics and communications engineeringminimum of 10 years of engineering experience in switch mode power supply designms in electrical engineering or electronics and communications engineering with 5 years of engineering experiencestrong in simulations using matlab, plecs, simetrix/simplis, psim, etc

strong in mathematical control system analysis

knowledge in single/three phase pll and three phase dq control is a plus

highly motivated to create innovative solutions

strong commitment to innovation

trustworthy, loyal, high moral standards

passionate and committed

as part of our total rewards philosophy, we believe in offering and maintaining competitive compensation and benefits programs for our employees in order to attract and retain a talented, highly engaged workforce. our compensation programs are focused on equitable, fair pay practices including market-based base pay, an annual pay-for-performance incentive plan, we offer a strong benefits package in each of the countries in which we operate. advanced energy is committed to diversity in its workforce including equal employment opportunity for minorities, females, protected veterans, and individuals with disabilities.

we are committed to protecting and respecting your privacy. we take your privacy seriously and will only use your personal information to administer your application in accordance with the ra no. 10173 also known as the data privacy act of 2012.


#j-18808-ljbffr"
SITE ELECTRICAL/COMMISSIONING ENGINEER,SHSY Electric Power Corporation,Northern Mindanao,N/A,"site electrical engineer

design, control, and implement electrical systems and products
develop manufacturing processes according to global engineering codes and standards
manage engineering projects and deliver them on time
evaluating systems’ safety, reliability, and performance
define customer needs and requirements
ensure that installations and applications are in line with customer needs and safety standards.
collaborate with engineers and technicians to design and apply new system processes
perform quality and performance analysis on new and legacy it systems
summarize data and report on test results
examine needs on new equipment, calculate costs and help prepare budgets
monitor maintenance and inspection plans
perform task that may be assigned from time to time

not required but there is advantage if you worked at ngcp

electrical commissioning engineer

• workingof  various electrical systems including transformer, hv breaker, disconnect switches, ct/vt, communication equipment, protection & control equipment, uninterruptable power supplies system, dc power system. equipment proficient in various trouble shooting skills;

• effective verbal and written english language communication skills ensuing effective report writing skills;

• comfortable to communicate, with the ability to influence, with personnel of all levels whilst working in a remote and multi-cultured environment; modification and testing for all electrical equipment such as transformers, hv/mv/lv equipment, protection panel, and other services-related testing equipment

testing of all types of advanced protection relays, transformer’s-line, hv/mv/lv equipment, protection panels and other services-related activities.

good command of omicron test equipment is preferred. for example, cpc100, cmc356, testrano 600

implementing  a testing and commissioning plan, method statements, testing and commissioning procedures, data sheets, testing criteria, testing and commissioning reports and/or validate or invalidate testing and commissioning results for this discipline.

-complete understanding of codes and standards regarding testing and commissioning requirements for cabling, earthing/grounding, hv/mv/lv electrical distribution systems and panels, transformers, ups systems, automatic transfer switches (ats), batteries and charging systems, overcurrent protection devices, metering and relaying, power monitoring systems and other related electrical/mechanical systems, controls and devices.

electrical commissioning technician

to check installation of systems and equipment before commissioning to make sure the installation is done properly and safe to work with.

to assist vendors and commissioning engineers during commissioning and related modifications.

to assist and arrange temporaries required for commissioning as per instructions.

to trouble shoot and modify equipment and systems whenever instructed.

comply with yard’s safety quality standards and lead the team of technicians and guide them in day to day activities.

disconnection, modification and removal of the existing cables, electrical control panels, light fittings/hoses and other electrical /mechanical equipment / components as applicable

to work on live equipment in case it is unavoidable meeting all safety procedures under close supervision

to prepare equipment and system for commissioning under the instructions and guidance of commissioning engineers or foremen

to do watch keeping and recording parameters of the equipment being commissioned /operating

able to use all test equipment and measuring instruments following the instruction from foreman and ensure that all jobs completed are in accordance with all standard procedures and safe working practices

to do isolations and energizations understanding the scope as per instruction received from commissioning engineer

to do cold and hot loop checks as per procedures and prove integrity of installations before commissioning

to do operations of equipment/instrument during commissioning till hand over under the guidance and instructions of commissioning engineer

perform other job related duties as assigned by the department head

ability to read, interpret and follow method statements and procedures, specifications, drawings, and other discipline related project and engineering documentation."
CCD Engineer Assembly,TE Connectivity,"City of Tanauan, Calabarzon",N/A,"duties and responsibilities:

trouble shooting, modify or create machine plc program to suit the need of the plant.
in charge of the repair and maintenance of the ccd system or automated camera inspection of the production machines. as well as the plc system of machine movement and its correct sequencing.
suggest improvement of machine automation and plc program to improve productivity and oee.
train technician on proper parameter modification of plc program. as well as improving their competency in machine automation.  

qualifications:

licensed electronics engineer (ece) or computer engineer with 5years minimum experience in machine automation and machine programming. must have the capability to create programs aside from debugging. must have deep programming knowledge on ccd or automated inspection camera used for visual inspection. with a high understanding of safety plc as well as the standard machine plc.
knowledgeable on this different type of programming languages:
ladder logic
function block diagrams
structured text
sequential flow charts
instruction list
familiarity with using the following plc platform:
allen bradley
siemens
abb

job overview


te connectivity's manufacturing engineering teams are process leaders for stamping, molding or assembly related topics, ensuring the processes are running at optimum levels for quality and output. they are experts in mold tooling, die tooling, machining, and assembly techniques, possessing extensive knowledge of the associated manufacturing processes which may include the optimization and standardization of stamping / molding / assembly or other processes within the manufacturing environment. manufacturing engineering teams enable the te business unit plants to reach te operating advantage (teoa) requirements, roll out centers of excellence (coe), best demonstrated practices (bdp’s) and advise plants on tool and machine duplications / corrections / improvements. they design and develop manufacturing process and automation platforms and apply them for the realization of new product developments as well as optimization of existing products already in production. the teams also support product development in the selection and optimization of tools for piece part production and the selection of the most suitable manufacturing concepts relative to planned manufacturing quantities, quality requirements and manufacturing location. they act as interface between engineering and production to ensure manufacturability of new designs and smooth production ramp up as well as support the research & development teams to produce sample manufacturing equipment, product samples and prototypes.

what your background should look like:


competencies


values: integrity, accountability, inclusion, innovation, teamwork"
Principal Protection & Control Engineer | High Voltage Substations,Jacobs,"Mandaluyong City, Metro Manila",N/A,"your impact

at jacobs, our power solutions team is geared towards providing a more integrated approach offering end-to-end service to support our clients in energy networks, thermal generation, renewable generation and storage solutions space. we are helping our clients meet the challenges faced in countries and cities across the globe, providing innovative solutions from replacing conventional thermal power plants with renewable energy to developing demand side management strategies.  

we are currently looking for a protection & control engineer. this role is expected to lead and deliver consultancy engineering services in the fields of transmission and distribution with specific technical focus on secondary and protection design leadership.

the role is expected to be a trusted advisor for clients and attain work and confidence in technical skills and ability to deliver what clients require for their business, on time and on budget. as appropriate, you will also mentor and develop other engineers to grow jacobs offering in your area of specialty.

here's what you'll need

an experienced engineer (5+ years) that has well established power transmission experience
experience in delivering technically excellent engineering designs and consultancy services. independently carry out design and review on projects.
competency in secondary and protection design for transmission and distribution utilities with minor supervision
able to directly liaise with clients in a confident manner and lead meetings with clients for small projects

jacobs. a world where you can. 

from our inclusive employee networks, to our positive mental health champions – we’re committed to driving a culture of caring where you can be you. joining jacobs not only connects you locally but globally - and together, our diverse perspectives and unique backgrounds power our collective strength. we collaborate and share! by supporting one another, we all succeed. 

 with safety and flexibility always top of mind, we’ve gone beyond traditional ways of working so you have the support, means and space to maximise your potential. you’ll uncover flexible working arrangements, benefits and opportunities to do good too – from participating in our global giving and volunteering program, to exploring new and inventive ways to help our clients make the world a better place. no matter what drives you, you’ll discover how you can cultivate, nurture and achieve your goals – all at a single global company. 

start your jacobs career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed – today and into tomorrow.    

please note: if you are being represented by a recruitment agency you will not be considered, to be considered you will need to apply directly to jacobs. #asiaid #phrec"
Sales Engineer,WHR Global Consulting,"Manila, Metro Manila",N/A,"sales engineer

work arrangement: onsite
schedule: day shift
location: manila (outside of manila travel expected; vehicle required)
employment type: full-time

about the role:
this role is responsible for driving sales growth by managing existing channel partners, penetrating key industrial sectors (manufacturing, process, renewables), and promoting weidmüller’s automation and connectivity solutions.

key responsibilities:
● market & sales strategy
– analyze industrial automation trends (factory automation, industry 4.0) and competitor activities
– develop and execute account plans aligned with regional objectives
– identify key product drivers and new customer segments

● customer & partner management
– strengthen relationships with distributors, epcs, panel builders, and end-users
– provide technical and commercial support (pre/post-sales)
– expand weidmüller’s presence in core sectors and beyond manila

● product promotion
– promote portfolio including terminal blocks, relays, power supplies, cabinet solutions
– tailor solutions to market needs with a focus on innovation

● others
– report bi-weekly on pipeline vs. targets
– share customer feedback with product and pricing teams
– work cross-functionally to align strategies

qualifications:
● bachelor’s degree in electrical engineering
● at least 5 years of experience in industrial automation, with exposure to manufacturing, process, or power sectors
● strong knowledge in industrial control systems and panel assembly
● proven sales training or account management background
● excellent analytical and problem-solving abilities

preferred skills:
● experience with automation products (plcs, sensors, inverters)
● established network with epcs, system integrators, and panel builders
● familiarity with contacts outside manila and willingness to travel regionally
● knowledge in it/ot integration, industry 4.0, and digitalization
● must own a vehicle for client visits

ideal candidate profile:
a strategic, technically savvy sales professional with deep industrial automation experience, a robust regional network, and a drive to expand weidmüller’s market share through innovative solutions and partner development.

candidates with attached cv and relevant experience will be considered for a phone interview."
CSSD Technician,"Providence Hospital, Inc.","Manila, Metro Manila",N/A,"statement of specific duties and responsibilities
administrative duties


assists in the preparation of the department’s regular reports and other documentation.

monitors the flow of documents by recording all incoming and outgoing materials.

maintains and adheres to strict confidentiality of all files and records.

ensures the safekeeping and security of all assigned equipment.

assists in the reconciliation of inventory records of supplies.

manages department supplies and materials based on requirements, ensuring availability at all times.

performs additional tasks assigned by the immediate superior.

records and documents all sterilization processes and instruments, tubing, and bottles.

assists in establishing methods and standards for handling sterile items.

recommends inventory levels to meet current demands.

ensures safe and effective operation of all cssd machines.

stores all sterilized packs in proper shelves, racks, and bins.

monitors stock levels and expiration dates.

adheres to all hospital policies and procedures.

ensures completeness of instrument sets using count sheets or tray lists.

records preventive maintenance of all equipment.

technical duties


sorts and washes all surgical instruments, tubing, and bottles.

disinfects dirty instruments and equipment in the dirty area.

assembles and packs all surgical instruments and equipment.

sterilizes and stores all packs in the sterile store.

operates all cssd machines safely and effectively.

collects non-sterile surgical instruments and delivers processed sterile packs to wards and departments.

prepares surgical instruments for packaging.

inspects instruments and equipment for cleanliness and functionality.

conducts daily testing of all equipment prior to use.

scope of responsibilities


implementation of assigned tasks

recording and documentation

cleaning, washing, drying, and sterilization of instruments and equipment

supplies and materials management

recommending process and workflow improvements

answering incoming calls and queries

preparing surgical instruments for packaging

advocating for infection control

other responsibilities as instructed by the immediate superior or phi management

accountabilities


cleanliness of the assigned area and equipment

all temporarily assigned supplies, instruments, and equipment

inventory of assigned stocks

inventory of medical and surgical instruments and equipment

office furniture and fixtures

materials handling equipment

department records and documents

work relationships
internal


immediate superior: regular coordination for stock control, task management, and guidance in administrative and routine activities.

department heads: daily reporting, guidance, and coordination of tasks.

other staff (assigned area): regular coordination of tasks and activities.

other departments/units: regular coordination of tasks and activities.

information & technology department: occasional coordination for computer-related concerns.

clinical engineering / biomed: occasional coordination for technical equipment concerns.

external


suppliers’ sales representatives: regular coordination on the operation and usage of machines.

job requirements
academic / professional qualifications


bachelor’s degree in any health science field

recognized cssd certificate

relevant experience


at least one (1) year of cssd technician work experience in a hospital setting

competencies needed
technical skills


knowledge of various medical and surgical instruments

familiarity with medical and surgical procedures

skilled in using sterilizing machines

interpersonal skills


strong oral, verbal, and written communication skills

computer literate (windows-based applications)

above average customer service skills

personal attributes


pleasant personality, well-groomed, focused, and meticulous

high work ethics, self-motivated, and mature

committed and dedicated to departmental goals

highly dependable and honest"
Energy Management Specialist,"KSearch Asia Consulting, Inc.","Manila, Metro Manila",N/A,"client

a leading power generation company in the philippines.

job description

the position holder is responsible for the technical and
commercial aspect of the energy management system
including distributed control systems (dcs) and
supervisory control and data acquisition (scada)
systems. this includes designing and reviewing contractor
design drawings, developing, supervising the installation
of equipment which is used to monitor and control energy
storage systems, machinery and processes and checking
the compliance of the project on the it/ot requirements
of the organization. he/she will ensure that these systems
and processes operate effectively, efficiently, safely and in
accordance with the contract package.
● ensure that the energy management system and
of project management plan are implemented in a
satisfactory level of quality in construction quality
control activities.
● verify that the contractor properly completes and
documents all on-site observations and tests
required to ensure compliance with the
construction specification and standards.
● ensure that any changes in approved drawings
and specifications follow the change control
procedures described herein and that, when
appropriate, with approval from the project
manager
● identify ems related problems, initiate and to
recommend actions to project manager and/or vp
for ess to correct observed deficiencies.
● involved in internal reporting that the top
management is kept abreast of construction
matters and of the overall reports of the project.
● closely coordinate with staff on the approved
method and adaptation on all aspects of work and
recording of works.
● recommend removal and replacement of
defective equipment and materials incorporated
in the permanent project components prior to
commissioning.
● check and monitor any variation orders and extra
works that are deemed necessary during the
progress of the project activities.
● prepare necessary documentation on change
orders including details such as reasons for
change, costs (deductive or additive) to justify the
same and seek comments and approval of the
project manager and/or the project director
whichever is present
● consolidate weekly and monthly project status
reports and change orders deemed necessary for
the completion of internal ‘monthly progress
report’ for management, office and file copy.
● review and monitor quality control program of
the epc contractor for energy management
system related works suitable for the project and
other matters concerning the project.
● organize overall progress reports of the project x
● works actively with the contractor and project
management teams to understand project
objectives and priorities and to meet project
objectives with regard to safety, cost control and
schedule.
● coordinate with the epc contractor representative
and site in-charge for inspection and meeting
about ems related problems including the closure
of non-compliance report.
● coordinates with the documents controller
regarding the release of construction drawings,
sor & ncr documents, ptw related documents
● ensure all permit to works requirements are in
place and issued on time to contractors.
● undertake a review of all ems, dcs and scada
matched against communicated needs to
ensure plants and facilities are safely and
efficiently operated using reliable control
systems.
● provide expertise on energy management
system and processes to ensure that the
facilities are operating on the latest technology
and at optimized operability, reliability and
safety.
● provide expert contribution in the completion of
the project risk management plan

job qualification

2 years of relevant industry experience in project execution of power or energy storage.
1 year leadership experience
2 years of project experience
must be a graduate of bs electronic and communication or bs in instrumentation and control

urgent hiring

more job openings
"
INSTRUMENTATION & CONTROL DESIGNER,"Zachry Philippines, Inc.","Manila, Metro Manila",N/A,"job qualifications:

1. education and registration:

graduate of instrumentation and control engineering, i&c technology, or other related courses.

2. experience:

at least 5 years of instrumentation and control design and drafting experience for oil and gas, petrochemical, power, and other process-related industrial plants or facilities.

3. skills and knowledge:

use of 2d and 3d design software such as autocad, microstation, pdms, e3d, and similar software. knowledgeable in ms office.

4. other requirements:

good interpersonal and communication skills.

job description:

1. project lead

ensure the company’s quality management system and related design and documentation procedures are implemented in all phases of project execution.

2. engineering and design

responsible for the design and drafting of instrumentation and control drawings for the oil and gas, petrochemical, food & beverages, and consumer products industries ensuring clarity, completeness, and minimal errors in design output, and compliance to project specifications, man-hour budget, and schedule.

responsible for the drafting of design deliverables such as location plans, cable tray, and trench routing plan layouts, instrument air layout, junction box wiring diagrams, loop diagrams, hook-ups, installation details, and other design deliverables.

3d modeling of cable tray, instrumentation equipment, and other instrumentation and control works.

prepares material take-off, lists, indexes, and schedules for instrumentation and control works.

3. others

ensure that the company’s administrative, human resources, and safety rules and regulations are followed at all times.

willing to work extended hours as per project requirements.

available for field assignments locally and/or overseas.

performs other related tasks that may be assigned by the immediate superior."
Automation Engineer,Marketect,Philippines,N/A,"building businesses is our specialty. we combine powerful brand storytelling with digital marketing and data-driven strategies like adwords, organic search, and high-performing websites to grow your brand and super-size your business, including mobile responsive websites, content marketing, and marketing automation

the role

job responsibilities include but are not limited to:

design and deploy ai agents for:
lead generation: web scraping, filtering, and delivering vetted leads daily. identifying all sources for lead generation for project sizes from $500,000 to $15 million in the dallas / ft. worth, tx area. also implementing a ‘go / no go’ criteria to help establish qualified leads that fit our company.
estimating: locating trade partners for all trades, evaluating / pre qualifying each trade partner, sending plans & solicit bids, and securing at least 3 bids on every trade. parsing subcontractor bids by fully comparing trade partner scopes, material quantities and identifying inconsistencies to ensure an ‘apples to apples’ comparison.
operations: analyzing our process manuals to identify and automate repetitive tasks.
set up and manage bots to handle task delegation, notifications, and workflow triggers.
use integration tools (e.g., zapier, integrately) to connect ai outputs to slack, asana, crms, etc.
continuously assess and recommend automation opportunities across our business functions.
act as an internal consultant to translate team needs into ai-based workflows.
maintain documentation for all built automations and workflows.

ideal profile

experience and skills required:

minimum 2 years of experience with ai tools and automation platforms.proven track record setting up bots, agents, and task automation systems.
strong command of tools like chatgpt, perplexity, grok, deepseek, etc.
experience with integration platforms (zapier, integrately, make, etc.).
ability to parse and operationalize business process documentation.
excellent problem-solving skills and ability to work independently.
clear written and verbal communication in english.
familiarity with crms like pipedrive, project management tools like procore, and accounting platforms like sage 300.
prior experience in construction tech or high-volume task automation.
comfort using tools like bluebeam or constructconnect (a plus, not a must).

tech requirements:

computer - at least i5 or equivalent with 8gb ram
internet speed - at least 50 mbps download speed

job type: part-time

schedule: 8:30am - 12:30pm cdt m-f // 9:30pm - 1:30am philippine time m-f

what's on offer?

work from home"
Operating Room - Sterilization Technician / CSSD | Makati (Rockwell),Asian Eye Institute,"Makati City, Metro Manila",Remote,"about the role

we are looking for a full-time operating room - sterilization technician whose primary responsibility is to guarantee contamination prevention by adhering to established protocols for the pre-use and pre-operative preparation of instruments and equipment. the role is responsible for thorough decontamination, cleaning, assembling, packaging, sterilization, storage, and distribution of reusable surgical instruments, medical devices, and equipment. the sterilization technician shall also ensure proper labeling and documentation of all medical instruments and supplies.


instrument labeling, sterilization, and packaging

sorts, assembles, wraps, prepares, and observes safe handling of instruments and medical supplies for sterilization, making these available for surgeries.

ensures proper labeling and documentation of all medical instruments and supplies.

operates various sterilization equipment (e.g., soniclean ultrasonic cleaner, tuttnauer tabletop autoclave machine, statim 2000/5000 flush steam sterilizer, sterrad nx, digital autoclave sterilizer) effectively.

verifies and rechecks that all equipment functions properly and monitors logs efficiency of sterilization procedures, and sterilizer machines.

applies the appropriate sterilization method based on instrument type, specific sterilization processes, and prescribed conditions (including temperature, duration, pressure, and humidity).

infection control and safety management

applies principles of microbiology and infection control rigorously in all activities within restricted areas.

manages hazardous waste materials safely and ensures compliance with safety protocols related to fumes, chemicals, colds, noise, radiation, blood and body fluids, and infectious diseases.

checks the sterilizer’s external and internal chemical indicator tapes, strips, and biological indicators to ensure proper sterilization process.

operating room instruments inventory and reports

inspects orders, delivers, retrieves, and maintains equipment and instruments for surgeries, ensuring adequate supply and functionality of medical equipment and surgical instruments.

identifies and documents each sterilizer load, ensuring accurate and complete records are maintained for every cycle.

monitors medical instruments and equipment and ensures proper documentation.

reports to the or department head all broken or malfunctioning instruments and equipment, and requests necessary maintenance, repair, or replacement.

provides reports regarding incidents or accidents to the deputy chief, qa, hr, and in coordination with medical management. 


qualifications:

must have at least completed a central sterile supply department (cssd) course.

a licensed central sterile supply department (cssd) technician

preferably licensed international board passer and certified sterile processing and distribution technician (cspdt)

preferably with at least one (1) year of experience in central sterile supply department.

knowledge of procedures for decontaminating, cleaning, disinfecting, packaging, labeling, and distribution of surgical instruments and medical devices.

able to monitor the efficiency of sterilization and documentation logs.

able to communicate effectively and accurately. 

exhibit meticulous attention to detail.


benefits and perks:

government-mandated / statutory benefits, including 13th-month pay

regular dayshift

14th-month pay

eye treatment benefit including dependents

eyewear/optical benefits and discounts including dependents

perfect attendance incentive

hmo coverage

life insurance

paid vacation leaves convertible to cash

paid sick leaves convertible to cash

educational assistance plan for eligible employees

sponsored trainings and certifications for professional development 

performance-based increase (from annual performance review)

retirement benefit


your application journey in 4 steps:

click apply or send your updated resume to *******@asianeyeinstitute.com

hop on a call with one of our talent partners for a 5-minute phone screening

pass the interview and assessment of our leaders.

sign your offer agreement


our commitment to diversity, equity, and inclusion

asian eye is committed to creating an organization and promoting a culture that both respect each human person’s uniqueness and foster and maintain a work environment where each colleague feels valued and supported. 

promoting diversity means understanding that each individual is unique; to recognize and respect individual differences and invest in creating and enforcing an inclusive, safe, and engaging work environment.

in managing our relationships with our people, asian eye will promote diversity by adopting the following measures in accordance with related laws.


your eye-conic journey starts here. be the best by learning from the top-notch eye care professionals."
Mechanical Technician,"RDF Feed, Livestock & Food, Inc.","San Fernando, Central Luzon",Remote,"job description:

monitors the unit assigned in accordance to approved programs, policies, procedures, processes controls, in-plant process measurements to ensure feed products meet quality parameters.

perform mechanical repairs and maintenance

maintain, repair instrumentation devices and components

job qualifications:

at least high school graduate

must know how to perform welding works.

at least 1 year experience in feed mill production or any related production plant.

work location: brgy. lara, city of san fernando, pampanga"
ELECTRICAL ENGINEER,Paramount Human Resource Multi Purpose Cooperative,"Bulacan, Central Luzon",Remote,"job summary:


we are looking for a highly skilled electrical engineer to support electrical systems, automation, and maintenance in our food production facility. the ideal candidate will play a critical role in ensuring equipment reliability, system efficiency, and regulatory compliance. experience in food manufacturing environments and a strong understanding of industrial controls and safety standards are essential.

job description:


key responsibilities:

design, maintain, and troubleshoot electrical systems and equipment used in food processing and packaging operations.

support automation and control systems including plcs, hmis, scada, and vfds.

conduct regular inspections, preventive maintenance, and repairs to minimize downtime and ensure operational efficiency.

collaborate with production and maintenance teams to identify and resolve electrical or instrumentation issues.

ensure compliance with electrical codes, food safety regulations, and company standards.

participate in the installation and commissioning of new equipment and upgrades.

maintain accurate documentation including wiring diagrams, control schematics, and maintenance logs.

recommend and implement improvements to enhance energy efficiency and process reliability.

qualifications:


education & experience:

bachelor’s degree in electrical engineering, electronics engineering, or a related field.

3+ years of experience in an electrical engineering role, preferably in the food or beverage manufacturing industry.

skills & knowledge:

strong understanding of industrial electrical systems (480v, 3-phase power, low-voltage controls).

proficient with automation systems (siemens, allen-bradley, omron, etc.).

familiarity with food industry equipment such as conveyors, mixers, ovens, chillers, and packaging machines.

working knowledge of food industry standards (gmp, haccp) is a plus.

strong troubleshooting and problem-solving skills.

ability to read and interpret electrical schematics, blueprints, and technical documentation.

excellent communication, teamwork, and time management abilities.

certifications (preferred):

certified electrical engineer (local licensing as required)

basic haccp or food safety awareness training

plc programming certification (optional)"
Technician - Electrical & Instrumentation,Oceana Gold,"Quirino, Metro Manila",Remote,"


company description

oceanagold is a growing intermediate gold and copper producer committed to safely and responsibly maximizing the generation of free cash flow from our operations and delivering strong returns for our shareholders.

we have a portfolio of four operating mines: the haile gold mine in the united states of america; didipio mine in the philippines; and the macraes and waihi operations in new zealand. our operations are supported by a global workforce with significant exploration, development and operating experience.

our purpose is mining gold for a better future. the gold, copper, and silver we produce are essential to the renewable energy and transport sectors, life-saving medical devices and technology which connects communities around the world. our activities also contribute to economic growth and improved health and education outcomes in the regions where we operate. we provide direct employment for over 3,700 people and indirect employment for many more.

our vision is to be a company people trust, want to work and partner with, supply and invest in, to create value. this vision is brought to life by our values – care, respect, integrity, performance and teamwork – which put our people, host communities, the environment and our stakeholders at the forefront of our decision-making.

check us out - www.oceanagold.com

job description

oceanagold are seeking a suitably qualified and motivated technician - electrical & instrumentation to support to attain the production goals by maintaining electrical equipment and system following site standards, work procedures and applicable electrical laws. the role will report to the supervisor-electrical maintenance.

key tasks and responsibilities:

the ability to install, maintain, and troubleshoot electrical systems and equipment in mining operations;
the ability to perform electrical works and repair, control the allocation of resources, time and costs to ensure the efficiency and adequacy of mine operations, avoiding waste of resources;
ability to identify potential risks and implementing strategies to mitigate them, such as developing contingency plans for challenges that may arise during project implementation;
the ability to perform preventive and corrective maintenance on wide variety of electrical equipment by applying the most cost-effective and best maintenance practice to improve availability and extend equipment lifespan;
the ability to perform instrumentation and control work, control the allocation of resources, time and cost to ensure the efficiency and adequacy of mine operations, avoiding waste of resources;

qualifications

educational background

graduate of any vocational trade studies major in electrical or industrial electrician

work experience and background

minimum 2 years of work experience as industrial electrician
previous work experience in metal & mining industry is an advantage
willing to be assigned in surface or underground

specialization/license

registered master electrician for l3 position
professional driver’s license
ncii in electrical or instrumentation

desired qualifications

can do basic electrical wiring and troubleshooting
can work on basic motor controls
had work experience on hv cables, transformers, electric motors, mccs, motor starters

knowledge

reading and interpreting engineering drawings like sld, schematic diagrams and other
electrical systems and components
maintenance procedures and safety standards

skills

analytical skill
know how to use basic electrical toolings
know how to use basic electrical test equipment
installation, maintenance, commissioning and troubleshooting of an electrical equipment
computer skills and use of microsoft applications

abilities

attention to details
adaptability
physical stamina
problem-solving abilities

additional information

highly attractive remuneration package inclusive of health and life insurance benefits
great opportunities for career advancement with an international mining company
friendly roster with great onsite foods, accommodation, and with transport from point of hire is provided for non-didipio residents
professional development skills training opportunities provided

ogc values: care | respect | integrity | performance | teamwork

oceanagold is committed to providing equal employment opportunities.

if you share the same values and have what we are looking for, please apply online now via our careers website:
https://careers.smartrecruiters.com/oceanagold

applications close 18 may 2025. shortlisting will commence immediately. applicants must be eligible to work in the philippines.

#j-18808-ljbffr"
